72-238-95-29.res.bhn.net; 0.0.0.0; /FLL2014/Resources/Scorer/iphone/; 21/Oct/2014:21:57:05; None; None; None; None
72-238-95-29.res.bhn.net; 0.0.0.0; /FLL2014/Resources/wheelconverter/; 21/Oct/2014:22:08:15; None; None; None; None
dhcp-2c-b0-5d-1e-8e-10.cpe.xcountry.tv; 24.53.87.77; /FLL2014/Resources/Scorer/; 22/Oct/2014:00:00:08; 45.0917,-64.3599; Wolfville; Nova Scotia; CA
crawl-66-249-69-22.googlebot.com; 66.249.69.22; /FLL2014/Resources/Scorer/; 22/Oct/2014:00:13:42; 37.3860,-122.0838; Mountain View; California; US
crawl-66-249-69-38.googlebot.com; 66.249.69.38; /FLL2014/Resources/Scorer/; 22/Oct/2014:05:50:35; 37.3860,-122.0838; Mountain View; California; US
crawl-66-249-69-38.googlebot.com; 66.249.69.38; /FLL2014/Resources/Scorer/; 22/Oct/2014:06:19:53; 37.3860,-122.0838; Mountain View; California; US
crawl-66-249-69-54.googlebot.com; 66.249.69.54; /FLL2014/Resources/Scorer/; 22/Oct/2014:07:49:08; 37.3860,-122.0838; Mountain View; California; US
crawl-66-249-69-38.googlebot.com; 66.249.69.38; /FLL2014/Resources/Scorer/; 22/Oct/2014:09:52:47; 37.3860,-122.0838; Mountain View; California; US
crawl-66-249-69-22.googlebot.com; 66.249.69.22; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:10:47:47; 37.3860,-122.0838; Mountain View; California; US
crawl-66-249-69-38.googlebot.com; 66.249.69.38; /FLL2014/Resources/Scorer/; 22/Oct/2014:10:52:57; 37.3860,-122.0838; Mountain View; California; US
173-247-174-166.static-ip.telepacific.net; 173.247.174.166; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:19:29:20; 33.7584,-118.3163; Rancho Palos Verdes; California; US
msnbot-157-55-39-168.search.msn.com; 157.55.39.168; /FLL2014/Resources/Scorer/; 22/Oct/2014:22:28:34; 47.6801,-122.1206; Redmond; Washington; US
202.45.133.2; 202.45.133.2; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:23:47:16; 3.6810,101.5198; Tanjong Malim; Perak; MY
118.101.68.177; 118.101.68.177; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:23:51:07; 3.2333,101.6667; Batu Caves; Selangor; MY
c-76-117-91-204.hsd1.nj.comcast.net; 76.117.91.204; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:23:51:21; 40.5170,-74.8680; Flemington; New Jersey; US
user207x99x246x250.spusd.k12.ca.us; 92.242.140.21; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:23:53:02; 51.5000,-0.1300; None; None; GB
chapin-fw1.chapin.edu; 69.48.154.4; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:23:54:05; 40.7805,-73.9512; New York; New York; US
user207x99x246x250.spusd.k12.ca.us; 92.242.140.21; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:23:54:35; 51.5000,-0.1300; None; None; GB
r75-110-167-225.unknwn.ab.dh.suddenlink.net; 92.242.140.21; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:23:54:44; 51.5000,-0.1300; None; None; GB
globalnat03.nths.net; 12.180.227.125; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:23:56:26; 42.1137,-87.7609; Winnetka; Illinois; US
c-24-98-205-241.hsd1.ga.comcast.net; 24.98.205.241; /FLL2014/Resources/wheelconverter/; 22/Oct/2014:23:58:39; 33.6687,-84.4653; Atlanta; Georgia; US
150-70-97-112.trendmicro.com; 150.70.97.112; /FLL2014/Resources/wheelconverter/; 23/Oct/2014:00:00:12; 35.6900,139.6900; None; None; JP
pool-98-116-70-43.nycmny.fios.verizon.net; 98.116.70.43; /FLL2014/Resources/wheelconverter/; 23/Oct/2014:00:02:14; 40.7493,-73.6824; New Hyde Park; New York; US
226.sub-70-193-132.myvzw.com; 70.193.132.226; /FLL2014/Resources/wheelconverter/; 23/Oct/2014:00:02:29; 33.9526,-84.5499; Marietta; Georgia; US
