103.1.70.66; 103.1.70.66; /beginner/droidsev3.pptx; 11/Oct/2014:06:56:20;  103.1.70.66;   5.2999,100.2605;   Bayan Lepas;   Pulau Pinang
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:10;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:11;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:12;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/ev3worksheets.docx; 11/Oct/2014:12:27:18;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /intermediate/debug/debuggingtechniques.pptx; 11/Oct/2014:12:27:59;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /advanced/LineFollower/linefollower.ev3; 11/Oct/2014:12:28:24;  109.78.84.200;   53.0000,-8.0000;   None;   None
206.193.251.72.nauticom.net; 206.193.251.72; //beginner/droidsev3.pptx; 11/Oct/2014:14:39:31;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; //beginner/droidsev3.pptx; 11/Oct/2014:14:39:54;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; /beginner/droidsev3.pptx; 11/Oct/2014:14:40:05;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; /beginner/droidsev3.pptx; 11/Oct/2014:14:40:09;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; /intermediate/debug/debuggingtechniques.pptx; 11/Oct/2014:14:40:41;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; /intermediate/debug/debuggingtechniques.pptx; 11/Oct/2014:14:41:06;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; /intermediate/debug/debuggingtechniques.pptx; 11/Oct/2014:14:41:07;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; //advanced/MyBlockLessons.pptx; 11/Oct/2014:14:41:27;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; /advanced/MyBlockLessons.pptx; 11/Oct/2014:14:41:38;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; /advanced/MyBlockLessons.pptx; 11/Oct/2014:14:41:38;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:36; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:36; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:36; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:37; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:37; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:37; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:38; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:38; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:38; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:38; None; None; None; None
